Team Code	Game Code	Rush Att	Rush Yard	Rush TD	Pass Att	Pass Comp	Pass Yard	Pass TD	Pass Int
5	5012820130829	35	134	0	25	18	116	1	1
5	317000520130907	25	69	1	32	20	287	4	1
5	5041820130914	30	107	0	49	25	311	2	2
5	671000520130921	27	134	1	43	27	321	3	2
5	5007120130928	25	97	1	37	22	199	1	0
5	519000520131005	39	56	0	26	11	101	0	1
5	5050320131012	36	110	2	56	24	262	1	1
5	5041420131019	39	147	3	32	23	227	0	0
5	47000520131026	44	226	2	35	17	211	1	2
5	331000520131102	47	173	0	21	9	131	1	0
5	5040020131116	36	133	1	33	20	208	1	0
5	709000520131129	35	85	1	30	18	259	3	0
8	8074220130831	38	96	1	24	10	110	1	1
8	8069720130914	37	234	2	29	20	334	4	0
8	156000820130921	21	66	1	27	21	272	2	1
8	433000820130928	40	254	2	32	25	180	0	1
8	254000820131005	30	181	1	34	29	296	5	0
8	8033420131012	44	299	5	36	22	369	1	0
8	31000820131019	37	352	4	24	15	180	3	0
8	694000820131026	37	204	3	28	19	275	2	0
8	365000820131109	42	193	2	20	14	179	3	0
8	8043020131116	33	196	0	32	18	187	2	2
8	693000820131123	32	251	4	20	15	184	2	0
8	8003720131130	35	218	1	29	17	277	3	0
8	522000820140102	35	129	2	30	19	387	2	2
9	9071620130831	30	108	0	35	21	339	3	0
9	9036520130907	43	160	1	25	9	136	1	0
9	508000920130921	34	242	3	27	13	212	3	1
9	9073620130928	29	156	0	36	19	206	2	2
9	229000920131005	25	51	0	33	18	256	2	0
9	9023120131012	41	217	2	30	19	188	1	0
9	9070620131026	34	189	2	43	23	317	2	2
9	419000920131102	56	299	1	9	6	57	1	1
9	9038820131109	56	288	1	17	10	176	1	0
9	9019620131116	34	144	2	34	16	210	0	2
9	574000920131121	37	138	3	33	13	195	1	0
9	664000920131130	36	145	2	31	18	286	2	1
28	102002820130905	44	158	2	36	27	365	5	0
28	796002820130914	42	116	4	51	29	352	0	1
28	28067420130921	24	50	1	56	30	367	3	2
28	657002820130928	35	261	4	35	24	351	3	1
28	28051320131005	25	65	0	47	33	362	3	2
28	157002820131012	58	276	4	22	11	256	2	0
28	756002820131019	51	314	4	42	26	271	2	1
28	28075420131031	57	282	2	31	22	275	5	1
28	28073220131109	39	149	2	31	19	144	1	0
28	528002820131116	39	156	3	37	22	183	0	2
28	28011020131123	50	223	3	27	20	225	1	0
28	29002820131130	52	204	4	25	13	274	2	1
28	674002820131207	43	138	1	25	17	173	1	0
28	28070020131230	49	287	2	29	16	125	0	1
29	501002920130830	34	306	3	13	9	87	1	0
29	29046520130907	69	397	5	21	8	81	0	0
29	706002920130914	48	264	4	21	14	158	1	0
29	29075620130928	49	199	2	37	14	119	0	2
29	29065720131010	33	145	0	44	28	363	4	0
29	732002920131019	58	300	3	30	18	168	1	0
29	29015720131026	50	405	4	32	21	265	1	1
29	29010720131102	51	187	3	38	24	261	1	0
29	110002920131109	47	239	1	33	20	186	2	1
29	754002920131116	45	195	1	38	26	200	1	0
29	529002920131123	65	304	4	22	19	178	2	0
29	29002820131130	49	249	3	30	15	175	0	3
29	29006720131231	49	254	3	24	17	275	2	0
30	2678003020130831	57	509	8	13	10	163	1	0
30	30003720130907	39	150	0	41	29	272	0	0
30	716003020130912	43	228	5	35	21	311	1	0
30	30040420130921	31	74	0	39	22	181	1	1
30	30043420130928	41	117	0	47	37	318	1	1
30	295003020131012	45	190	1	32	22	375	4	1
30	671003020131022	25	79	1	21	11	89	0	1
30	30064620131102	47	189	2	25	21	160	0	0
30	30049820131109	58	259	5	23	16	235	1	0
30	670003020131116	57	328	4	18	14	96	1	1
30	254003020131123	45	138	1	19	14	152	2	0
30	30077220131130	53	223	3	28	19	134	1	1
30	30004720140105	39	202	1	26	18	129	1	1
31	671003120130831	51	292	1	23	15	230	3	0
31	625003120130907	53	333	2	17	9	125	2	0
31	664003120130914	56	258	3	11	6	69	0	1
31	31058720130921	34	101	0	28	16	182	2	0
31	697003120130928	30	201	1	36	17	282	3	2
31	31023520131005	29	111	1	43	17	164	0	1
31	648003120131012	24	218	1	13	4	30	0	1
31	31000820131019	39	165	0	25	7	91	0	2
31	37003120131102	47	222	1	27	12	124	1	1
31	31043320131109	34	196	1	32	18	193	2	1
31	430003120131123	43	225	2	17	10	114	0	1
31	31036520131129	34	182	1	29	19	178	2	1
37	754003720130831	46	295	2	20	10	99	0	0
37	30003720130907	50	301	3	19	11	167	2	0
37	430003720130914	36	120	0	34	23	339	2	2
37	37036520130921	52	213	3	33	17	224	0	2
37	433003720131005	48	282	3	17	11	93	0	0
37	769003720131012	43	511	5	22	17	201	4	1
37	37069720131019	60	379	4	25	11	236	2	0
37	229003720131026	59	422	4	18	12	206	2	1
37	37003120131102	46	233	4	9	8	133	1	0
37	37069420131109	53	444	5	7	3	35	1	1
37	257003720131116	57	323	4	27	16	243	1	0
37	8003720131130	52	296	2	16	11	97	2	0
37	434003720131207	74	545	7	11	9	132	1	0
37	37023420140106	53	232	2	27	14	217	2	1
47	299004720130829	32	80	4	40	24	340	3	0
47	725004720130907	34	115	2	37	23	325	2	0
47	47049720130914	20	163	1	46	27	333	2	2
47	47020420130921	37	197	5	31	19	346	2	0
47	709004720130928	36	128	4	39	27	335	0	1
47	47074620131005	40	160	4	41	23	346	2	0
47	331004720131012	23	118	0	46	23	305	4	2
47	47077420131019	43	159	2	38	25	324	3	1
47	47000520131026	37	157	1	36	26	277	5	0
47	129004720131106	44	250	1	29	20	299	4	0
47	47050320131113	34	170	2	49	35	324	1	1
47	414004720131129	31	140	1	33	27	445	6	0
47	30004720140105	39	148	1	44	23	215	1	1
51	2915005120130831	44	281	5	28	23	411	3	0
51	86005120130907	55	329	6	25	19	452	3	0
51	498005120130921	41	311	3	36	25	470	5	1
51	768005120131005	62	468	8	33	20	396	2	3
51	51032720131012	37	114	2	21	12	332	3	0
51	311005120131019	53	291	5	39	29	423	2	0
51	51032820131026	44	306	5	38	21	437	3	0
51	522005120131107	54	255	2	26	13	204	3	0
51	700005120131116	57	340	5	31	17	335	3	0
51	51052120131123	36	94	0	48	28	359	2	0
51	51069820131130	52	164	1	38	19	206	2	1
51	703005120131207	54	221	1	38	21	287	2	0
51	128005120140101	38	194	4	47	30	356	2	1
66	66075620130831	42	171	0	46	29	175	0	1
66	695006620130907	49	220	3	32	20	252	5	0
66	721006620130913	41	229	5	31	29	304	1	1
66	66009620130920	53	200	4	47	33	361	1	1
66	664006620130928	52	229	5	27	23	316	3	0
66	66073120131012	40	112	2	45	30	335	2	3
66	466006620131019	46	407	5	21	18	150	0	1
66	66007720131025	44	214	1	46	29	285	1	1
66	66015620131102	31	132	1	27	19	305	5	0
66	811006620131116	53	241	3	39	29	283	3	1
66	66062620131123	34	95	1	36	21	202	2	2
66	473006620131130	40	172	2	25	17	260	4	0
66	66052820131224	38	156	1	44	32	382	1	0
67	739006720130831	40	128	1	30	23	285	2	0
67	749006720130906	46	191	1	14	7	123	2	1
67	67065720130914	26	101	1	24	11	83	0	0
67	234006720130928	45	200	0	28	18	197	4	2
67	725006720131005	41	320	5	13	11	203	1	0
67	67014720131012	39	94	1	21	13	192	1	1
67	67045720131026	38	202	1	22	11	59	0	0
67	742006720131102	42	196	2	14	11	93	1	0
67	67047220131109	35	320	2	25	17	230	3	0
67	490006720131116	53	420	4	15	8	53	0	0
67	67039220131123	40	254	2	15	6	120	1	1
67	67068820131130	33	191	2	19	11	168	2	1
67	29006720131231	45	145	2	28	17	206	0	2
71	719007120130829	53	233	3	28	12	163	0	1
71	71033120130907	46	219	3	25	19	357	2	0
71	71030620130914	36	136	0	51	28	273	0	1
71	454007120130921	42	282	4	32	28	378	3	1
71	5007120130928	44	167	2	24	18	229	2	0
71	400007120131005	43	232	1	22	13	216	3	0
71	71043020131012	29	160	2	34	20	224	0	0
71	709007120131026	36	135	3	26	17	208	0	0
71	71041420131105	41	189	2	30	21	258	3	1
71	519007120131112	41	207	4	20	13	253	3	1
71	71020420131123	46	296	3	26	13	264	3	1
71	71008620131129	48	260	2	26	11	230	1	1
71	71050320131206	40	181	1	27	21	393	5	0
71	545007120131226	34	10	0	33	21	279	2	0
